fpr,tpr
0.033536,0.560484
0.033728,0.560484
0.033921,0.560484
0.034018,0.560484
0.034018,0.561828
0.034114,0.561828
0.034114,0.563844
0.034307,0.563844
0.034307,0.565188
0.034499,0.565188
0.034596,0.565188
0.034596,0.565860
0.034788,0.565860
0.035174,0.565860
0.035174,0.567204
0.035270,0.567204
0.035270,0.568548
0.035270,0.570565
...,...
0.844753,0.998656
0.844849,0.998656
0.845331,0.998656
0.845427,0.998656
0.845620,0.998656
0.845716,0.998656
0.845909,0.998656
0.846006,0.998656
0.846295,0.998656
0.846680,0.998656
0.846873,0.998656
0.847162,0.998656
0.847933,0.998656
0.848126,0.998656
0.848222,0.998656
0.848607,0.998656
0.849186,0.998656
0.849475,0.998656
0.849571,0.998656
0.849764,0.998656
0.849860,0.998656
0.850053,0.998656
0.850246,0.998656
0.850728,0.998656
0.850920,0.998656
0.851209,0.998656
0.851402,0.998656
0.851884,0.998656
0.852173,0.998656
0.853137,0.998656
0.853329,0.998656
0.853908,0.998656
0.854390,0.998656
0.854679,0.998656
0.854775,0.998656
0.854968,0.998656
0.855450,0.998656
0.855739,0.998656
0.855931,0.998656
0.856413,0.998656
0.856606,0.998656
0.856799,0.998656
0.857088,0.998656
0.857184,0.998656
0.857955,0.998656
0.858148,0.998656
0.858341,0.998656
0.858437,0.998656
0.858630,0.998656
0.858822,0.998656
0.859111,0.998656
0.859208,0.998656
0.859401,0.998656
0.859497,0.998656
0.859786,0.998656
0.860364,0.998656
0.860461,0.998656
0.860750,0.998656
0.860846,0.998656
0.861039,0.998656
0.861906,0.998656
0.862099,0.998656
0.862388,0.998656
0.862773,0.998656
0.862966,0.998656
0.863159,0.998656
0.863641,0.998656
0.863737,0.998656
0.864123,0.998656
0.864412,0.998656
0.864604,0.998656
0.865568,0.998656
0.865761,0.998656
0.866050,0.998656
0.866243,0.998656
0.866628,0.998656
0.867110,0.998656
0.867206,0.998656
0.867688,0.998656
0.867881,0.998656
0.867977,0.998656
0.868555,0.998656
0.868748,0.998656
0.868941,0.998656
0.869230,0.998656
0.869712,0.998656
0.870001,0.998656
0.870676,0.998656
0.870965,0.998656
0.871157,0.998656
0.871350,0.998656
0.871639,0.998656
0.872314,0.998656
0.872603,0.998656
0.872988,0.998656
0.873181,0.998656
0.873277,0.998656
0.873952,0.998656
0.874337,0.998656
0.874916,0.998656
0.875108,0.998656
0.875301,0.998656
0.875783,0.998656
0.875976,0.998656
0.876265,0.998656
0.876554,0.998656
0.876747,0.998656
0.877132,0.998656
0.877228,0.998656
0.877903,0.998656
0.878192,0.998656
0.878578,0.998656
0.878674,0.998656
0.878867,0.998656
0.879349,0.998656
0.879445,0.998656
0.879638,0.998656
0.879734,0.998656
0.879927,0.998656
0.880698,0.998656
0.881083,0.998656
0.881276,0.998656
0.882143,0.998656
0.882240,0.998656
0.882432,0.998656
0.882625,0.998656
0.882818,0.998656
0.883011,0.998656
0.883203,0.998656
0.883396,0.998656
0.883974,0.998656
0.884167,0.998656
0.884745,0.998656
0.885227,0.998656
0.885420,0.998656
0.885998,0.998656
0.886769,0.998656
0.887636,0.998656
0.887829,0.998656
0.888022,0.998656
0.888311,0.998656
0.888696,0.998656
0.888985,0.998656
0.889371,0.998656
0.889756,0.998656
0.890045,0.998656
0.890623,0.998656
0.890720,0.998656
0.891491,0.998656
0.891587,0.998656
0.892358,0.998656
0.892454,0.998656
0.892840,0.998656
0.892936,0.998656
0.893322,0.998656
0.893611,0.998656
0.894382,0.998656
0.894960,0.998656
0.895153,0.998656
0.895538,0.998656
0.895731,0.998656
0.895924,0.998656
0.896309,0.998656
0.896502,0.998656
0.896887,0.998656
0.897176,0.998656
0.897466,0.998656
0.897658,0.998656
0.897755,0.998656
0.898044,0.998656
0.898236,0.998656
0.898622,0.998656
0.899104,0.998656
0.899393,0.998656
0.899682,0.998656
0.899875,0.998656
0.900260,0.998656
0.900453,0.998656
0.900838,0.998656
0.901802,0.998656
0.902188,0.998656
0.902669,0.998656
0.903248,0.998656
0.903633,0.998656
0.904404,0.998656
0.904886,0.998656
0.905175,0.998656
0.906235,0.998656
0.906524,0.998656
0.907295,0.998656
0.907680,0.998656
0.907970,0.998656
0.908259,0.998656
0.908644,0.998656
0.908933,0.998656
0.909126,0.998656
0.909222,0.998656
0.909415,0.998656
0.909801,0.998656
0.910475,0.998656
0.911053,0.998656
0.911150,0.998656
0.911535,0.998656
0.911631,0.998656
0.911824,0.998656
0.912017,0.998656
0.912499,0.998656
0.912788,0.998656
0.912981,0.998656
0.913270,0.998656
0.913462,0.998656
0.913944,0.998656
0.914330,0.998656
0.914523,0.998656
0.914619,0.998656
0.915004,0.998656
0.915101,0.998656
0.915293,0.998656
0.915583,0.998656
0.915775,0.998656
0.916064,0.998656
0.916450,0.998656
0.916643,0.998656
0.916835,0.998656
0.917221,0.998656
0.917414,0.998656
0.917895,0.998656
0.917992,0.998656
0.918184,0.998656
0.918955,0.998656
0.919244,0.998656
0.919630,0.998656
0.919823,0.998656
0.920015,0.998656
0.920690,0.998656
0.921172,0.998656
0.921557,0.998656
0.922135,0.998656
0.922521,0.998656
0.922617,0.998656
0.922906,0.998656
0.923099,0.998656
0.923196,0.998656
0.923581,0.998656
0.923966,0.998656
0.924063,0.998656
0.924641,0.998656
0.925027,0.998656
0.925605,0.998656
0.926183,0.998656
0.926376,0.998656
0.926568,0.998656
0.926954,0.998656
0.927147,0.998656
0.927243,0.998656
0.927821,0.998656
0.928303,0.998656
0.928688,0.998656
0.928881,0.998656
0.928978,0.998656
0.929267,0.998656
0.929459,0.998656
0.929748,0.998656
0.929941,0.998656
0.930327,0.998656
0.930809,0.998656
0.931001,0.998656
0.931194,0.998656
0.931579,0.998656
0.931965,0.998656
0.932158,0.998656
0.932254,0.998656
0.932447,0.998656
0.932832,0.998656
0.932929,0.998656
0.933603,0.998656
0.933700,0.998656
0.933989,0.998656
0.934278,0.998656
0.934663,0.998656
0.934856,0.998656
0.935434,0.998656
0.935627,0.998656
0.936205,0.998656
0.936398,0.998656
0.936591,0.998656
0.936591,1.000000
0.936976,1.000000
0.937458,1.000000
0.937651,1.000000
0.938036,1.000000
0.938229,1.000000
0.938711,1.000000
0.938903,1.000000
0.939289,1.000000
0.939482,1.000000
0.939674,1.000000
0.939771,1.000000
0.940156,1.000000
0.940252,1.000000
0.940542,1.000000
0.941120,1.000000
0.941409,1.000000
0.941987,1.000000
0.942276,1.000000
0.942373,1.000000
0.942662,1.000000
0.943047,1.000000
0.943240,1.000000
0.943529,1.000000
0.943914,1.000000
0.944204,1.000000
0.944396,1.000000
0.944974,1.000000
0.945071,1.000000
0.945264,1.000000
0.945745,1.000000
0.945842,1.000000
0.946034,1.000000
0.946324,1.000000
0.946902,1.000000
0.947191,1.000000
0.947384,1.000000
0.947673,1.000000
0.947769,1.000000
0.948058,1.000000
0.948444,1.000000
0.948733,1.000000
0.948829,1.000000
0.949022,1.000000
0.949118,1.000000
0.949407,1.000000
0.949600,1.000000
0.949889,1.000000
0.950467,1.000000
0.950564,1.000000
0.950756,1.000000
0.950853,1.000000
0.951142,1.000000
0.951238,1.000000
0.951913,1.000000
0.952395,1.000000
0.953262,1.000000
0.954033,1.000000
0.954129,1.000000
0.954322,1.000000
0.954418,1.000000
0.954611,1.000000
0.955093,1.000000
0.955382,1.000000
0.955478,1.000000
0.955768,1.000000
0.955960,1.000000
0.956635,1.000000
0.956828,1.000000
0.957117,1.000000
0.957502,1.000000
0.957695,1.000000
0.958080,1.000000
0.958273,1.000000
0.958562,1.000000
0.959430,1.000000
0.959622,1.000000
0.959911,1.000000
0.960104,1.000000
0.960393,1.000000
0.960490,1.000000
0.960682,1.000000
0.960779,1.000000
0.961068,1.000000
0.961164,1.000000
0.961357,1.000000
0.961742,1.000000
0.962513,1.000000
0.962610,1.000000
0.962802,1.000000
0.963091,1.000000
0.963477,1.000000
0.963670,1.000000
0.963959,1.000000
0.964151,1.000000
0.964344,1.000000
0.964730,1.000000
0.965308,1.000000
0.965886,1.000000
0.965982,1.000000
0.966175,1.000000
0.966561,1.000000
0.966657,1.000000
0.966850,1.000000
0.967428,1.000000
0.967524,1.000000
0.967717,1.000000
0.968006,1.000000
0.968295,1.000000
0.968488,1.000000
0.969066,1.000000
0.969452,1.000000
0.970223,1.000000
0.970319,1.000000
0.970512,1.000000
0.970704,1.000000
0.970994,1.000000
0.971572,1.000000
0.971764,1.000000
0.972632,1.000000
0.972825,1.000000
0.973210,1.000000
0.973788,1.000000
0.973981,1.000000
0.974366,1.000000
0.974559,1.000000
0.974752,1.000000
0.975137,1.000000
0.975234,1.000000
0.975523,1.000000
0.975619,1.000000
0.976197,1.000000
0.976294,1.000000
0.976486,1.000000
0.976968,1.000000
0.977739,1.000000
0.978221,1.000000
0.978317,1.000000
0.978510,1.000000
0.978607,1.000000
0.978799,1.000000
0.979281,1.000000
0.979570,1.000000
0.979763,1.000000
0.980052,1.000000
0.980148,1.000000
0.980341,1.000000
0.980727,1.000000
0.980823,1.000000
0.981401,1.000000
0.981690,1.000000
0.981883,1.000000
0.981979,1.000000
0.982172,1.000000
0.982365,1.000000
0.982750,1.000000
0.983136,1.000000
0.983329,1.000000
0.983521,1.000000
0.983714,1.000000
0.984003,1.000000
0.984292,1.000000
0.984581,1.000000
0.984967,1.000000
0.985256,1.000000
0.985449,1.000000
0.985930,1.000000
0.986509,1.000000
0.986701,1.000000
0.986990,1.000000
0.987376,1.000000
0.987665,1.000000
0.988340,1.000000
0.988436,1.000000
0.988725,1.000000
0.989303,1.000000
0.989496,1.000000
0.989785,1.000000
0.990171,1.000000
0.990267,1.000000
0.990652,1.000000
0.990749,1.000000
0.991134,1.000000
0.991327,1.000000
0.991520,1.000000
0.991712,1.000000
0.991905,1.000000
0.992194,1.000000
0.992291,1.000000
0.992483,1.000000
0.992772,1.000000
0.993254,1.000000
0.993640,1.000000
0.993929,1.000000
0.994025,1.000000
0.994218,1.000000
0.994314,1.000000
0.994507,1.000000
0.994700,1.000000
0.995471,1.000000
0.995856,1.000000
0.996145,1.000000
0.996531,1.000000
0.997013,1.000000
0.997398,1.000000
0.997687,1.000000
0.997880,1.000000
0.997976,1.000000
0.998554,1.000000
0.999036,1.000000
0.999422,1.000000
0.999615,1.000000
0.999807,1.000000
1.000000,1.000000
